expt_id,master_ccl_id,experiment_date,cells_per_well
432,366,20120914,500
433,384,20120914,500
434,428,20120914,500
435,437,20120914,500
436,589,20120914,500
437,636,20120914,500
438,155407,20120914,500
439,155477,20120914,500
440,155494,20120914,500
441,877,20120914,500
442,924,20120914,500
443,879,20120914,500
444,1182,20120914,500
445,1277,20120914,500
446,1285,20120914,500
447,102,20120928,500
448,141,20120928,500
449,158,20120928,500
450,185,20120928,500
451,227,20120928,500
452,238,20120928,500
453,348,20120928,500
454,155498,20120928,500
455,155339,20120928,500
456,155362,20120928,500
457,885,20120928,500
458,929,20120928,500
459,932,20120928,500
460,1193,20120928,500
461,1232,20120928,500
462,1233,20120928,500
463,71,20121001,500
464,80,20121001,500
465,85,20121001,500
466,233,20121001,500
467,237,20121001,500
468,257,20121001,500
469,499,20121001,500
470,602,20121001,500
471,618,20121001,500
472,626,20121001,500
473,684,20121001,500
474,302,20121001,500
475,155479,20121001,500
476,895,20121001,500
477,685,20121001,500
478,1024,20121001,500
479,1105,20121001,500
480,1173,20121001,500
481,77,20121005,500
482,83,20121005,500
483,131,20121005,500
484,170,20121005,500
485,211,20121005,500
486,282,20121005,500
487,155456,20121005,500
488,330,20121005,500
489,469,20121005,500
490,493,20121005,500
491,500,20121005,500
492,504,20121005,500
493,586,20121005,500
494,598,20121005,500
495,960,20121005,500
496,1119,20121005,500
497,131,20121005,500
498,1251,20121005,500
499,92,20121008,500
500,99,20121008,500
501,364,20121008,500
502,315,20121008,500
503,444,20121008,500
504,512,20121008,500
505,573,20121008,500
506,588,20121008,500
507,623,20121008,500
508,155431,20121008,500
509,155348,20121008,500
510,894,20121008,500
511,896,20121008,500
512,944,20121008,500
513,945,20121008,500
514,953,20121008,500
515,968,20121008,500
516,155841,20121008,500
517,1,20121009,500
518,31,20121009,500
519,74,20121009,500
520,106,20121009,500
521,178,20121009,500
521,178,20121010,500
522,180,20121009,500
523,181,20121009,500
524,226,20121009,500
524,226,20121010,500
525,228,20121009,500
525,228,20121010,500
