experiment_id,area_under_curve,master_cpd_id
462,14.924,687694
462,14.483,687714
462,14.242,687715
462,6.9416,687720
462,14.773,687721
462,13.446,687769
462,11.199,687953
462,6.6405,687954
462,14.871,688138
462,11.083,688229
462,14.776,688516
462,14.238,688799
462,12.235,688888
462,14.293,688962
462,8.8891,688975
462,14.527,705300
462,14.785,710154
463,14.173,3588
463,14.369,12877
463,14.904,17712
463,14.779,18311
463,12.743,19153
463,15,23151
463,15.136,23256
463,14.494,24173
463,14.788,24197
463,13.508,25036
463,14.226,25334
463,13.013,25344
463,17.383,26874
463,14.344,26914
463,3.5698,26956
463,14.711,26972
463,15.297,26979
463,14.401,27872
463,8.3922,28172
463,14.845,28183
463,11.737,28452
463,11.582,28784
463,14.366,28801
463,15.502,29985
463,7.9184,30371
463,12.499,30620
463,14.631,32372
463,14.801,32622
463,13.566,32653
463,14.473,33166
463,7.6,36599
463,2.8309,37190
463,14.838,37479
463,13.114,39782
463,11.589,42319
463,11.687,44503
463,13.812,44511
463,15.503,44554
463,8.4255,44580
463,13.085,45093
463,14.032,46792
463,13.181,48589
463,14.522,50131
463,9.8465,50134
463,12.958,50163
463,14.49,50715
463,14.004,50727
463,12.571,50732
463,16.128,50737
463,15.423,50747
463,14.225,50753
463,12.064,52123
463,13.85,52133
463,12.826,52430
463,12.351,52582
463,6.6991,52882
463,14.34,52926
463,11.356,52928
463,14.32,53556
463,13.442,53705
463,13.748,54200
463,4.5332,54210
463,15.315,55307
463,15,55512
463,12.252,56554
463,11.359,56703
463,10.747,58339
463,15.1,58455
463,14.06,58472
463,13.546,58566
463,12.146,58948
463,12.065,60218
463,10.47,60225
463,9.4444,61097
463,12.266,61674
463,13.465,62111
463,5.4336,62602
463,13.923,62690
463,15.805,63349
463,11.862,63578
463,14.704,96171
463,14.815,119769
463,13.232,122255
463,13.227,142931
463,14.737,153820
463,9.3623,154846
463,15.364,182395
463,15,185987
463,12.787,199337
463,14.511,215497
463,14.864,255961
463,14.683,267119
463,14.989,272805
463,13.888,277354
463,12.52,290356
463,14.873,345041
463,14.838,345712
463,15,347775
463,14.947,347812
463,7.7787,347813
463,13.336,348633
463,13.361,348990
463,12.283,348991
463,9.8457,348992
463,13.078,348997
463,10.881,349002
463,13.777,349006
463,14.607,350548
463,15,351043
463,14.874,362207
463,6.7734,362338
463,15.659,362342
463,13.895,374747
463,12.839,374749
463,12.224,374750
463,13.625,374755
463,5.4775,375219
463,11.79,375256
463,11.172,375264
463,14.436,375354
463,15.422,375366
