experiment_id,area_under_curve,master_cpd_id
1,16.344,660080
1,15.879,660081
1,14.677,660082
1,11.202,660083
1,14.147,660084
1,8.7234,660086
1,13.325,660087
1,15.553,660119
1,12.371,660129
1,13.5,660131
1,13.285,660132
1,12.992,660133
1,13.75,660134
1,13.978,660135
1,15.762,660136
1,14.072,660137
1,14.897,660139
1,14.402,660140
1,15,660145
1,14.949,660172
1,11.245,660173
1,11.148,660174
1,13.671,660175
1,12.031,660176
1,14.009,660178
1,12.572,660179
1,12.822,660180
1,15.91,660181
1,15.736,660201
1,14.968,660202
1,11.939,660206
1,14.253,660207
1,11.28,660216
1,7.7924,660217
1,10.433,660218
1,13.859,660219
1,14.809,660220
1,12.776,660221
1,12.414,660222
1,14.151,660223
1,14.193,660224
1,9.1734000000000009,660225
1,14.172,660227
1,14.602,660228
1,14.187,660229
1,14.689,660230
1,9.69,660238
1,13.23,660245
1,11.326,660246
1,14.543,660247
1,11.964,660248
1,13.757,660249
1,10.469,660251
1,12.515,660253
1,13.08,660268
1,14.724,660269
1,13.304,660270
1,14.558,660271
1,6.8887,660280
1,12.877,660281
1,11.09,660282
1,13.961,660283
1,13.243,660284
1,9.2334,660286
1,12.285,660287
1,13.176,660288
1,11.232,660301
1,14.883,660304
1,15.905,660314
1,14.599,660317
1,9.5134,660318
1,15.16,660321
1,11.917,660322
1,12.036,660325
1,12.8,660327
1,12.797,660331
1,16.983,660332
1,13.88,660341
1,11.407,660346
1,12.7,660358
1,14.998,660391
1,11.822,660397
1,15.845,660410
1,14.346,660411
1,15.898,660412
1,11.755,660413
1,13.278,660414
1,12.69,660421
1,13.969,660424
1,14.489,660425
1,10.201,660429
1,14.253,660430
1,16.71,660431
1,11.94,660432
1,12.254,660433
1,12.402,660434
1,14.084,660768
1,12.688,660774
1,8.3851,660777
1,13.182,660778
1,11.903,660779
1,12.019,660796
1,13.365,660797
1,12.122,660798
1,13.693,660819
1,15.328,660821
1,11.928,660823
1,15,660839
1,11.444,660857
1,12.889,665818
1,13.924,686134
1,12.649,688888
1,14.564,705300
2,15.68,1788
2,16.938,3588
2,15.888,12877
2,14.207,17712
2,12.553,18311
2,16.584,19153
2,14.188,23151
2,14.002,23256
2,13.708,25036
2,13.923,25334
2,14.624,25344
